Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A46147487,Cat,Domestic Medium Hair,Mix,M,Yes,2.0,Baby,Normal,11/22/2020 4:19 PM,Owner/Guardian Surrender,For Adoption,Other,,2/10/2021 7:52 PM,2/10/2021 7:52 PM,Adoption,Adoption Center,,
A46147490,Cat,Domestic Medium Hair,Mix,M,Yes,3.0,Baby,Normal,11/22/2020 4:19 PM,Owner/Guardian Surrender,For Adoption,Other,,1/8/2021 6:46 PM,1/8/2021 6:46 PM,Adoption,Adoption Center,,
A46147494,Cat,Domestic Shorthair,Mix,M,Yes,2.0,Baby,Normal,11/22/2020 4:19 PM,Owner/Guardian Surrender,For Adoption,Other,,1/18/2021 5:42 PM,1/18/2021 5:42 PM,Adoption,Adoption Center,,
A46147495,Cat,Domestic Shorthair,Mix,M,Yes,2.0,Baby,Normal,11/22/2020 4:19 PM,Owner/Guardian Surrender,For Adoption,Other,,1/25/2021 5:48 PM,1/25/2021 5:48 PM,Adoption,Adoption Center,,
A46147496,Cat,Domestic Shorthair,Mix,M,Yes,2.0,Baby,Normal,11/22/2020 4:19 PM,Owner/Guardian Surrender,For Adoption,Other,,1/2/2021 2:37 PM,1/2/2021 2:37 PM,Adoption,Adoption Center,,
A46171028,Cat,Domestic Shorthair,Mix,M,Yes,7.0,Young,Normal,11/27/2020 10:21 AM,Clinic,Neuter,,,11/27/2020 10:34 AM,11/27/2020 10:34 AM,Clinic Out,Vaccinations,,
A46171197,Cat,Domestic Medium Hair,Mix,M,Yes,3.0,Young,Normal,11/27/2020 11:58 AM,Clinic,Neuter,,,11/27/2020 12:00 PM,11/27/2020 12:00 PM,Clinic Out,Other,,
A46171209,Cat,Domestic Shorthair,Mix,F,Yes,3.0,Young,Normal,11/27/2020 12:02 PM,Clinic,Spay,,,11/27/2020 12:04 PM,11/27/2020 12:04 PM,Clinic Out,Other,,
A46171918,Cat,Domestic Shorthair,Mix,M,Yes,84.0,Adult,Normal,11/27/2020 12:33 PM,Clinic,Microchip,,,11/27/2020 12:37 PM,11/27/2020 12:37 PM,Clinic Out,Microchip,,
A46171998,Cat,Domestic Shorthair,Mix,M,Yes,65.0,Adult,Normal,11/27/2020 12:42 PM,Clinic,Microchip,,,11/27/2020 12:47 PM,11/27/2020 12:47 PM,Clinic Out,Microchip,,
A46179723,Cat,Domestic Shorthair,Mix,U,No,,Young,Normal,11/29/2020 3:46 PM,Stray,ACO / Police Drop Off,,,11/30/2020 5:14 PM,11/30/2020 5:14 PM,Return to Owner/Guardian,Stray Reclaim,,
A46197393,Cat,Domestic Shorthair,Mix,M,Yes,23.0,Adult,Normal,12/2/2020 12:52 PM,Stray,Public Drop Off,,,3/19/2021 3:13 PM,3/19/2021 3:13 PM,Transfer Out,For Adoption,For Adoption,Orphan Animal Rescue - OARS
A46197750,Cat,Domestic Shorthair,Mix,F,Yes,7.0,Young,Normal,12/2/2020 1:20 PM,Stray,ACO / Police Drop Off,,,1/7/2021 10:08 AM,1/7/2021 10:08 AM,Transfer Out,To Specific Rescue,For Adoption,Oshkosh Area Humane Society #1
A46220360,Dog,"Terrier, Rat",Mix,M,Yes,1.0,Baby,Normal,12/5/2020 2:04 PM,Owner/Guardian Surrender,For Adoption,Other,,1/13/2021 3:11 PM,1/13/2021 3:11 PM,Adoption,Adoption Center,,
A46220365,Dog,"Terrier, Rat",Mix,M,Yes,2.0,Baby,Normal,12/5/2020 2:04 PM,Owner/Guardian Surrender,For Adoption,Other,,1/22/2021 6:13 PM,1/22/2021 6:13 PM,Adoption,Adoption Center,,
A46220369,Dog,"Terrier, Rat",Mix,M,Yes,2.0,Baby,Normal,12/5/2020 2:04 PM,Owner/Guardian Surrender,For Adoption,Other,,2/8/2021 4:37 PM,2/8/2021 4:37 PM,Adoption,Adoption Center,,
A46220373,Dog,"Terrier, Rat",Mix,F,Yes,2.0,Baby,Normal,12/5/2020 2:04 PM,Owner/Guardian Surrender,For Adoption,Other,,1/7/2021 4:18 PM,1/7/2021 4:18 PM,Adoption,Adoption Center,,
A46220376,Dog,"Terrier, Rat",Mix,F,Yes,2.0,Baby,Normal,12/5/2020 2:04 PM,Owner/Guardian Surrender,For Adoption,Other,,2/1/2021 1:36 PM,2/1/2021 1:36 PM,Adoption,Adoption Center,,
A46220383,Dog,Border Collie,Mix,M,Yes,2.0,Baby,Normal,12/5/2020 2:04 PM,Owner/Guardian Surrender,For Adoption,Other,,1/26/2021 1:34 PM,1/26/2021 1:34 PM,Adoption,Adoption Center,,
A46220386,Dog,Border Collie,Mix,M,Yes,2.0,Baby,Normal,12/5/2020 2:04 PM,Owner/Guardian Surrender,For Adoption,Other,,1/17/2021 6:25 PM,1/17/2021 6:25 PM,Adoption,Adoption Center,,
A46220390,Dog,Border Collie,Mix,F,Yes,2.0,Baby,Normal,12/5/2020 2:04 PM,Owner/Guardian Surrender,For Adoption,Other,,1/2/2021 12:44 PM,1/2/2021 12:44 PM,Adoption,Adoption Center,,
A46220397,Dog,Border Collie,Mix,F,Yes,2.0,Baby,Normal,12/5/2020 2:04 PM,Owner/Guardian Surrender,For Adoption,Other,,1/13/2021 2:29 PM,1/13/2021 2:29 PM,Adoption,Adoption Center,,
A46220400,Dog,Border Collie,Mix,F,Yes,2.0,Baby,Normal,12/5/2020 2:04 PM,Owner/Guardian Surrender,For Adoption,Other,,1/19/2021 3:57 PM,1/19/2021 3:57 PM,Adoption,Adoption Center,,
A46225565,Cat,Domestic Shorthair,Mix,M,Yes,2.0,Baby,Normal,12/7/2020 1:40 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,12/30/2020 6:08 PM,12/30/2020 6:08 PM,Adoption,Adoption Center,,
A46225588,Cat,Domestic Shorthair,Mix,M,Yes,2.0,Baby,Normal,12/7/2020 1:40 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,12/30/2020 6:08 PM,12/30/2020 6:08 PM,Adoption,Adoption Center,,
A46231096,Cat,Domestic Shorthair,Mix,F,Yes,6.0,Baby,Normal,12/8/2020 11:32 AM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,1/17/2021 5:37 PM,,Died,Ill,,
A46231108,Cat,Domestic Shorthair,Mix,M,Yes,6.0,Baby,Normal,12/8/2020 11:32 AM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,2/25/2021 6:10 PM,2/25/2021 6:10 PM,Adoption,Adoption Center,,
A46247833,Cat,Domestic Shorthair,Mix,M,Yes,23.0,Young,Normal,12/7/2020 2:26 PM,Stray,ACO / Police Drop Off,,,3/14/2021 2:45 PM,3/14/2021 2:45 PM,Adoption,Adoption Center,,
A46270818,Cat,Domestic Shorthair,Mix,M,Yes,7.0,Young,Normal,12/14/2020 9:57 AM,Stray,Public Drop Off,,,2/25/2021 6:10 PM,2/25/2021 6:10 PM,Adoption,Adoption Center,,
A46282345,Dog,Border Collie,Mix,M,Yes,4.0,Baby,Normal,12/16/2020 4:48 PM,Owner/Guardian Surrender,For Adoption,Other,,1/29/2021 6:55 PM,1/29/2021 6:55 PM,Adoption,Adoption Center,,
A46301754,Cat,Domestic Medium Hair,Mix,M,Yes,3.0,Baby,Normal,12/20/2020 2:49 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,3/12/2021 3:22 PM,3/12/2021 3:22 PM,Adoption,Adoption Center,,
