Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A40436368,Dog,Australian Shepherd,Border Collie,F,Yes,1.0,Baby,Normal,12/23/2018 2:20 PM,Owner/Guardian Surrender,For Adoption,Other,,1/18/2019 5:49 PM,1/18/2019 5:49 PM,Adoption,Adoption Center,,
A40436375,Dog,Australian Shepherd,Border Collie,F,Yes,1.0,Baby,Normal,12/23/2018 2:20 PM,Owner/Guardian Surrender,For Adoption,Other,,1/19/2019 1:49 PM,1/19/2019 1:49 PM,Adoption,Adoption Center,,
A40436390,Dog,Australian Shepherd,Border Collie,F,Yes,1.0,Baby,Normal,12/23/2018 2:20 PM,Owner/Guardian Surrender,For Adoption,Other,,1/6/2019 10:36 AM,1/6/2019 10:36 AM,Adoption,Adoption Center,,
A40436445,Dog,"Coonhound, Treeing Walker",Mix,F,Yes,2.0,Baby,Normal,12/23/2018 2:33 PM,Owner/Guardian Surrender,For Adoption,Other,,1/25/2019 1:01 PM,1/25/2019 1:01 PM,Transfer Out,For Adoption,For Adoption,Humane Society of Sheboygan County
A40436453,Dog,"Coonhound, Treeing Walker",Mix,M,Yes,2.0,Baby,Normal,12/23/2018 2:33 PM,Owner/Guardian Surrender,For Adoption,Other,,1/25/2019 1:01 PM,1/25/2019 1:01 PM,Transfer Out,For Adoption,For Adoption,Humane Society of Sheboygan County
A40436458,Dog,"Coonhound, Treeing Walker",Mix,M,Yes,2.0,Baby,Normal,12/23/2018 2:33 PM,Owner/Guardian Surrender,For Adoption,Other,,2/8/2019 6:48 PM,2/8/2019 6:48 PM,Adoption,Adoption Center,,
A40436460,Dog,"Coonhound, Treeing Walker",Mix,M,Yes,2.0,Baby,Normal,12/23/2018 2:33 PM,Owner/Guardian Surrender,For Adoption,Other,,1/25/2019 1:01 PM,1/25/2019 1:01 PM,Transfer Out,For Adoption,For Adoption,Humane Society of Sheboygan County
A40436463,Dog,"Coonhound, Treeing Walker",Mix,M,Yes,2.0,Baby,Normal,12/23/2018 2:33 PM,Owner/Guardian Surrender,For Adoption,Other,,1/25/2019 1:01 PM,1/25/2019 1:01 PM,Transfer Out,For Adoption,For Adoption,Humane Society of Sheboygan County
A40436471,Dog,"Coonhound, Treeing Walker",Mix,M,Yes,2.0,Baby,Normal,12/23/2018 2:33 PM,Owner/Guardian Surrender,For Adoption,Other,,1/25/2019 1:01 PM,1/25/2019 1:01 PM,Transfer Out,For Adoption,For Adoption,Humane Society of Sheboygan County
A38195217,Dog,Australian Shepherd,American Blue Heeler,M,Yes,1.0,Young,Normal,3/31/2018 3:31 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,4/22/2018 12:58 PM,4/22/2018 12:58 PM,Adoption,Adoption Center,,
A38195236,Dog,Australian Shepherd,American Blue Heeler,F,Yes,1.0,Young,Normal,3/31/2018 3:31 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,5/5/2018 4:04 PM,5/5/2018 4:04 PM,Adoption,Adoption Center,,
A38195236,Dog,Australian Shepherd,American Blue Heeler,F,Yes,3.0,Young,Normal,5/11/2018 2:29 PM,Return,Within Exchange Period,Other,,5/18/2018 4:18 PM,5/18/2018 4:18 PM,Adoption,Adoption Center,,
