Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A43421823,Cat,Domestic Shorthair,Mix,M,Yes,24.0,Adult,Normal,12/13/2019 10:35 AM,Clinic,Neuter,,,12/13/2019 10:36 AM,12/13/2019 10:36 AM,Clinic Out,Other,,
A43422024,Cat,Domestic Shorthair,Mix,M,Yes,,Adult,Normal,12/13/2019 10:51 AM,Clinic,Neuter,,,12/13/2019 10:54 AM,12/13/2019 10:54 AM,Clinic Out,Other,,
A43422037,Cat,Domestic Shorthair,Mix,F,Yes,,Adult,Normal,12/13/2019 10:51 AM,Clinic,Neuter,,,12/13/2019 10:54 AM,12/13/2019 10:54 AM,Clinic Out,Other,,
A43422135,Dog,"Chihuahua, Short Coat",Mix,F,Yes,17.0,Adult,Normal,12/13/2019 11:00 AM,Clinic,Spay,,,12/13/2019 11:04 AM,12/13/2019 11:04 AM,Clinic Out,Other,,
A43422260,Cat,Domestic Shorthair,Mix,M,Yes,12.0,Adult,Normal,12/13/2019 11:12 AM,Clinic,Neuter,,,12/13/2019 11:13 AM,12/13/2019 11:13 AM,Clinic Out,Other,,
A43422304,Cat,Domestic Shorthair,Mix,F,Yes,7.0,Young,Normal,12/13/2019 11:15 AM,Clinic,Spay,,,12/13/2019 11:17 AM,12/13/2019 11:17 AM,Clinic Out,Other,,
A43422560,Dog,"Chihuahua, Short Coat",Mix,M,Yes,96.0,Adult,Normal,12/13/2019 11:35 AM,Clinic,Neuter,,,12/13/2019 11:37 AM,12/13/2019 11:37 AM,Clinic Out,Other,,
A43422661,Cat,Domestic Shorthair,Mix,F,Yes,,Adult,Normal,12/13/2019 11:42 AM,Clinic,Neuter,,,12/13/2019 11:45 AM,12/13/2019 11:45 AM,Clinic Out,Other,,
A43422671,Cat,Domestic Shorthair,Mix,M,Yes,,Adult,Normal,12/13/2019 11:42 AM,Clinic,Neuter,,,12/13/2019 11:47 AM,12/13/2019 11:47 AM,Clinic Out,Other,,
A43422779,Cat,Domestic Shorthair,Mix,M,Yes,,Young,Normal,12/13/2019 11:51 AM,Clinic,Neuter,,,12/13/2019 11:53 AM,12/13/2019 11:53 AM,Clinic Out,Other,,
A43422793,Cat,Domestic Shorthair,Mix,M,Yes,,Young,Normal,12/13/2019 11:51 AM,Clinic,Neuter,,,12/13/2019 11:55 AM,12/13/2019 11:55 AM,Clinic Out,Other,,
A43422917,Cat,Domestic Shorthair,Mix,M,Yes,29.0,Adult,Normal,12/13/2019 12:00 PM,Clinic,Neuter,,,12/13/2019 12:03 PM,12/13/2019 12:03 PM,Clinic Out,Other,,
A43422996,Dog,Terrier,Mix,F,Yes,48.0,Adult,Normal,12/13/2019 12:05 PM,Clinic,Spay,,,12/13/2019 12:07 PM,12/13/2019 12:07 PM,Clinic Out,Other,,
