Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
1,German Shepherd,Mix,0,1,9.0,Young,Normal,1/18/2019 9:55 AM,Clinic,Spay,,,1/18/2019 10:02 AM,1/18/2019 10:02 AM,Clinic Out,Other,,
0,Domestic Shorthair,Mix,0,1,55.0,Adult,Normal,1/18/2019 10:34 AM,Clinic,Spay,,,1/18/2019 10:39 AM,1/18/2019 10:39 AM,Clinic Out,Other,,
1,"Retriever, Labrador",Mix,0,1,6.0,Young,Normal,1/18/2019 10:34 AM,Clinic,Spay,,,1/18/2019 10:39 AM,1/18/2019 10:39 AM,Clinic Out,Other,,
1,"Chihuahua, Long Coat",Mix,0,1,,Adult,Normal,1/18/2019 10:44 AM,Clinic,Spay,,,1/18/2019 10:45 AM,1/18/2019 10:45 AM,Clinic Out,Other,,
0,Domestic Shorthair,Mix,1,1,,Adult,Normal,1/18/2019 10:55 AM,Clinic,Neuter,,,1/18/2019 10:56 AM,1/18/2019 10:56 AM,Clinic Out,Other,,
1,"Retriever, Labrador",Mix,0,1,32.0,Adult,Normal,1/18/2019 11:01 AM,Clinic,Spay,,,1/18/2019 11:11 AM,1/18/2019 11:11 AM,Clinic Out,Other,,
1,"Retriever, Labrador",Mix,0,1,32.0,Adult,Normal,1/18/2019 11:12 AM,Clinic,Spay,,,1/18/2019 11:13 AM,1/18/2019 11:13 AM,Clinic Out,Other,,
1,"Chihuahua, Short Coat",Beagle,0,1,14.0,Adult,Normal,1/18/2019 11:19 AM,Clinic,Spay,,,1/18/2019 11:20 AM,1/18/2019 11:20 AM,Clinic Out,Other,,
1,"Terrier, Pit Bull",Mix,1,1,17.0,Adult,Normal,1/18/2019 11:24 AM,Clinic,Neuter,,,1/18/2019 11:25 AM,1/18/2019 11:25 AM,Clinic Out,Other,,
1,Border Collie,American Blue Heeler,0,0,1.0,Baby,Normal,1/20/2019 1:50 PM,Owner/Guardian Surrender,For Adoption,Other,,2/6/2019 6:16 PM,2/6/2019 6:16 PM,Transfer Out,For Adoption,For Adoption,Green Bay Animal Rescue
1,Border Collie,American Blue Heeler,0,0,1.0,Baby,Normal,1/20/2019 1:50 PM,Owner/Guardian Surrender,For Adoption,Other,,2/6/2019 6:16 PM,2/6/2019 6:16 PM,Transfer Out,For Adoption,For Adoption,Green Bay Animal Rescue
1,Border Collie,American Blue Heeler,1,1,1.0,Baby,Normal,1/20/2019 1:50 PM,Owner/Guardian Surrender,For Adoption,Other,,5/3/2019 5:59 PM,5/3/2019 5:59 PM,Adoption,Adoption Center,,
1,Border Collie,American Blue Heeler,1,1,1.0,Baby,Normal,1/20/2019 1:50 PM,Owner/Guardian Surrender,For Adoption,Other,,3/31/2019 12:14 PM,3/31/2019 12:14 PM,Adoption,Adoption Center,,
1,Border Collie,American Blue Heeler,1,1,1.0,Baby,Normal,1/20/2019 1:50 PM,Owner/Guardian Surrender,For Adoption,Other,,3/22/2019 3:28 PM,3/22/2019 3:28 PM,Adoption,Adoption Center,,
1,Border Collie,American Blue Heeler,1,1,1.0,Baby,Normal,1/20/2019 1:50 PM,Owner/Guardian Surrender,For Adoption,Other,,3/22/2019 3:28 PM,3/22/2019 3:28 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,7.0,Young,Normal,1/25/2019 8:36 PM,Stray,ACO / Police Drop Off,,,2/8/2019 3:29 PM,2/8/2019 3:29 PM,Adoption,Adoption Center,,
1,Pug,Beagle,0,1,35.0,Adult,Normal,1/25/2019 2:47 PM,Owner/Guardian Surrender,For Adoption,Other,,3/21/2019 6:00 PM,3/21/2019 6:00 PM,Adoption,Adoption Center,,
1,Terrier,Mix,0,0,,Adult,Normal,1/25/2019 2:47 PM,Owner/Guardian Surrender,For Adoption,Other,,2/1/2019 1:09 PM,2/1/2019 1:09 PM,Transfer Out,To Specific Rescue,For Adoption,Bichon and Little Buddies Rescue
