Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
1,German Shepherd,Mix,1,1,1.0,Baby,Normal,8/22/2018 2:28 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/18/2018 11:14 AM,10/18/2018 11:14 AM,Transfer Out,For Adoption,For Adoption,Oshkosh Area Humane Society
1,"Terrier, Yorkshire",Mix,1,1,71.0,Adult,Normal,8/30/2018 3:19 PM,Owner/Guardian Surrender,For Adoption,Elderly/Can't care for,,10/10/2018 2:35 PM,10/10/2018 2:35 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,47.0,Adult,Normal,8/31/2018 12:30 PM,Stray,ACO / Police Drop Off,,,10/1/2018 11:26 AM,10/1/2018 11:26 AM,Transfer Out,For Adoption,For Adoption,Oshkosh Area Humane Society
1,"Spaniel, American Cocker",Mix,0,1,59.0,Adult,Normal,9/1/2018 5:31 PM,Owner/Guardian Surrender,For Adoption,Other,,9/21/2018 2:08 PM,9/21/2018 2:08 PM,Adoption,Adoption Center,,
1,Australian Shepherd,Mix,1,1,2.0,Baby,Normal,9/1/2018 5:31 PM,Owner/Guardian Surrender,For Adoption,Other,,9/19/2018 3:34 PM,9/19/2018 3:34 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,2.0,Baby,Normal,9/1/2018 5:31 PM,Owner/Guardian Surrender,For Adoption,Other,,10/10/2018 5:25 PM,10/10/2018 5:25 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,2.0,Baby,Normal,9/1/2018 5:31 PM,Owner/Guardian Surrender,For Adoption,Other,,10/10/2018 5:25 PM,10/10/2018 5:25 PM,Adoption,Adoption Center,,
1,Saint Bernard,Mix,0,1,18.0,Young,Normal,9/2/2018 2:54 PM,Owner/Guardian Surrender,For Adoption,Other,,9/11/2018 4:30 PM,9/11/2018 4:30 PM,Adoption,Adoption Center,,
1,Chow Chow,Mix,1,1,12.0,Adult,Normal,9/5/2018 3:46 PM,Owner/Guardian Surrender,For Adoption,Time - Not Enough,,9/7/2018 6:31 PM,9/7/2018 6:31 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,3.0,Young,Normal,9/8/2018 12:20 PM,Stray,Public Drop Off,,,9/24/2018 1:01 PM,9/24/2018 1:01 PM,Adoption,Adoption Center,,
1,Border Collie,Mix,0,1,2.0,Young,Normal,9/9/2018 12:38 PM,Owner/Guardian Surrender,For Adoption,Other,,11/11/2018 12:23 PM,11/11/2018 12:23 PM,Adoption,Adoption Center,,
1,Border Collie,Mix,0,1,2.0,Young,Normal,9/9/2018 12:38 PM,Owner/Guardian Surrender,For Adoption,Other,,11/10/2018 1:13 PM,11/10/2018 1:13 PM,Adoption,Adoption Center,,
1,Border Collie,Mix,0,1,2.0,Young,Normal,9/9/2018 12:40 PM,Owner/Guardian Surrender,For Adoption,Other,,11/11/2018 12:52 PM,11/11/2018 12:52 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,156.0,Senior,Sick,9/10/2018 2:06 PM,Owner/Guardian Surrender,Euthanasia Owner Request,Health Issues of cat,,9/14/2018 5:49 PM,,Euthanasia,Disease - Other Fatal,,
0,Siamese,Mix,0,1,23.0,Young,Normal,9/12/2018 5:13 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,9/17/2018 2:23 PM,9/17/2018 2:23 PM,Return to Owner/Guardian,Stray Reclaim,,
1,Retriever,Mix,1,1,,Adult,Normal,9/13/2018 2:42 PM,Stray,ACO / Police Drop Off,,,9/13/2018 2:49 PM,9/13/2018 2:49 PM,Return to Owner/Guardian,Stray Reclaim,,
1,"Retriever, Labrador",Mix,1,0,,Adult,Normal,9/14/2018 3:51 PM,Stray,ACO / Police Drop Off,,,9/22/2018 4:41 PM,9/22/2018 4:41 PM,Return to Owner/Guardian,Stray Reclaim,,
1,"Coonhound, Treeing Walker",Mix,0,1,15.0,Adult,Normal,9/14/2018 4:19 PM,Owner/Guardian Surrender,For Adoption,Other,,10/13/2018 3:02 PM,10/13/2018 3:02 PM,Adoption,Adoption Center,,
1,"Coonhound, Treeing Walker",Border Collie,0,1,1.0,Baby,Normal,9/14/2018 4:24 PM,Owner/Guardian Surrender,For Adoption,Other,,10/26/2018 6:07 PM,10/26/2018 6:07 PM,Adoption,Adoption Center,,
1,"Coonhound, Treeing Walker",Border Collie,0,1,1.0,Baby,Normal,9/14/2018 4:24 PM,Owner/Guardian Surrender,For Adoption,Other,,10/10/2018 4:46 PM,10/10/2018 4:46 PM,Adoption,Adoption Center,,
