Animal #,Out City,Out Province,Out Postal Code,adopted_lat,adopted_long
A41035953,Appleton,WI,54913,44.3148573,-88.3442668
A41073691,Waupaca,WI,54981,44.351503,-89.080269
A42135633,Waupaca,WI,54981,44.3201739,-89.1037071
A42137581,Fremont,WI,54940,44.670203,-90.356476
A42137591,Oshkosh,WI,54904,44.00539104,-88.59341533
A42137598,Wisconsin Rapids,WI,54495,44.375381,-88.1336727
A42137606,Hortonville,WI,54944,44.33237523,-88.64127015
A42137777,New London,WI,54961,44.38494213,-88.73650555
A42137793,Oshkosh,WI,54901,44.03382437,-88.56067115
A42142437,Oshkosh,WI,54901,44.04111408,-88.55985071
A42142444,Waupaca,WI,54981,44.359214,-89.09436256
A42143586,Fremont,WI,54940,44.22830583,-88.84833717
A42143592,Fremont,WI,54940,44.22830583,-88.84833717
A42143600,Waupaca,WI,54981,44.3464583,-89.0798991
A42152966,Oshkosh,WI,54901,44.0251648,-88.52515424
A42178878,Waupaca,WI,54981,44.35979688,-89.0798847
A42186759,Stevens Point,WI,54481,44.5412948,-89.5683567
A42210051,Waupaca,WI,54981,44.36635433,-89.07501544
A42218809,Rosendale,WI,54974,43.81507155,-88.66550647
A42301683,Mequon,WI,53092,43.22918327,-87.96567601
A42301697,Waupaca,WI,54981,44.36096455,-89.08885404
A42301729,Stevens Point,WI,54481,44.541182,-89.58299893
A42301736,Wausau,WI,54401,44.97133794,-89.64140996
A42301781,New London,WI,54961,44.378895,-88.752059
A42314870,Iola,WI,54945,44.50952893,-89.13101647
A42336492,Weyauwega,WI,54983,44.31989064,-88.9169843
A42346087,Stevens Point,WI,54481,44.51022831,-89.55580335
A42363391,Waupaca,WI,54981,44.28433,-89.097346
A42374569,Stevens Point,WI,54481,44.5387553,-89.58368373
A42374612,Menasha,WI,54952,44.21575607,-88.40861163
A42420721,Stevens Point,WI,54481,44.52530835,-89.56992143
A42446646,Waupaca,WI,54981,44.35896,-89.082307
A42482170,Waupaca,WI,54981,44.28433,-89.097346
A42504933,Waupaca,WI,54981,44.3231684,-89.1756015
A42512918,Waupaca,WI,54981,44.328349,-89.184652
A42535500,Kaukauna,WI,54130,44.29152076,-88.25618561
A42535521,Clintonville,WI,54929,44.62381695,-88.75434721
A42535542,Waupaca,WI,54981,44.24311,-89.146895
A42564959,Waupaca,WI,54981,44.35829582,-89.08479927
A42565439,Iola,WI,54945,44.50960362,-89.1355221
A42565914,Waupaca,WI,54981,44.3576678,-89.10823486
A42672544,Wausau,WI,54403,44.96403549,-89.62040003
A42724276,New London,WI,54961,44.38121576,-88.74573519
A42724405,New London,WI,54961,44.38121576,-88.74573519
A42724498,New London,WI,54961,44.393482,-88.75245
A42771198,Amherst,WI,54406,44.48602648,-89.26375925
A42833351,Waupaca,WI,54981,44.35571551,-89.08751106
A42847738,Milwaukee,WI,53217,43.18719715,-87.91048652
A42862234,Waupaca,WI,54981,44.36964,-89.098324
A42914464,Marshall,WI,53559,43.16823915,-89.07623223
A42914516,Stevens Point,WI,54481,44.49531245,-89.56274616
A42914524,New London,WI,54961,44.37580472,-88.74201388
A42914538,Duluth,MN,55812,46.80578769,-92.08369816
A42914553,Plover,WI,54467,44.48994941,-89.53615286
A42914556,Wild Rose,WI,54984,44.196614,-89.20166
A42914560,Green Bay,WI,54304,44.50779433,-88.06499333
A42915904,Stevens Point,WI,54481,44.5190587,-89.5982266
A43003855,Suamico,WI,54173,44.64098334,-88.04468993
A43022280,Ogdensburg,WI,54962,44.44990248,-89.03336159
A41073691,Waupaca,WI,54981,44.351503,-89.080269
A41131476,Oshkosh,WI,54901,44.03780524,-88.53400402
A41131596,Manawa,WI,54949,44.4624366,-88.91730364
A41131601,Manawa,WI,54949,44.4624366,-88.91730364
A41131791,Marion,WI,54950,44.66727894,-88.88254446
A41131930,Wautoma,WI,54982,44.07491201,-89.30045383
A41143578,Neenah,WI,54956,44.18601141,-88.49879757
A41144151,Stevens Point,WI,54481,44.49304128,-89.54274659
A41144186,Weyauwega,WI,54983,44.31569402,-88.92862841
A41144192,Wisconsin Rapids,WI,54494,44.36349872,-89.80378988
A41144201,Plover,WI,54467,44.49149667,-89.53118974
A41144226,Appleton,WI,54915,44.24011122,-88.40826341
A41144236,Iola,WI,54945,44.51406744,-89.12382674
A41155275,Manawa,WI,54949,44.46843068,-88.92548129
A41157261,Iola,WI,54945,44.50515443,-89.12351543
A41170125,Waupaca,WI,54981,44.34511708,-89.07005804
A41172071,Waupaca,WI,54981,44.36787424,-89.09783658
A41172075,Scandinavia,WI,54977,44.46308094,-89.14894048
A41177319,Waupaca,WI,54981,44.36118452,-89.0935333
A41188133,Weyauwega,WI,54983,44.316352,-88.931503
A41197538,Fremont,WI,54940,44.2619563,-88.86836522
A41224367,Amherst,WI,54406,44.46406272,-89.40479663
A41229706,Plover,WI,54467,44.44384999,-89.55394925
A41229718,Milwaukee,WI,53228,42.980915,-88.05212324
A41229725,Amherst,WI,54406,44.44812949,-89.28641744
A41330577,Plover,WI,54467,44.44384999,-89.55394925
A41339947,Clintonville,WI,54929,44.61220491,-88.76302755
A41354568,Green Bay,WI,54311,44.52578268,-87.93428765
A41354585,Plover,WI,54467,44.45989976,-89.54010588
A41354593,Green Bay,WI,54311,44.52578268,-87.93428765
A41385129,Racine,WI,53402,42.7992436,-87.811933
A41388013,Clintonville,WI,54929,44.61499467,-88.76404667
A41388013,Appleton,WI,54911,44.26955545,-88.40387686
A41409821,Waupaca,WI,54981,44.34208143,-89.06976584
A41409920,Waupaca,WI,54981,44.343519,-89.116264
A41409927,Waupaca,WI,54981,44.34208143,-89.06976584
A41409952,Waupaca,WI,54981,44.34208143,-89.06976584
A41410579,Iola,WI,54945,44.50544045,-89.128061
A41410736,Amherst,WI,54406,44.4492632,-89.27616427
A41410802,Schofield,WI,54476,44.90986336,-89.60455157
A41410809,Waupaca,WI,54981,44.3460238,-89.0807694
A41594804,Waupaca,WI,54981,44.36012407,-89.09385309
A43026241,Amherst,WI,54406,44.4326834,-89.2841364
A43026249,Waupaca,WI,54981,44.35284471,-89.08001869
A43026272,Neenah,WI,54956,44.17586912,-88.45476558
A43026331,Stevens Point,WI,54481,44.52268047,-89.55992402
A43029120,Waupaca,WI,54981,44.36098832,-89.09108797
A43036308,Kaukauna,WI,54130,44.27885907,-88.30363608
A43059699,Waupaca,WI,54981,44.3256219,-89.110396
A43078303,Waupaca,WI,54981,44.332996,-89.093879
A43078309,Oxford,WI,53952,43.7790967,-89.5836847
A43083644,Green Bay,WI,54304,44.50930554,-88.04076536
A43083656,Ogdensburg,WI,54962,44.4553039,-89.03321633
A43083662,New London,WI,54961,44.3840656,-88.73950037
A43083679,Butte Des Morts,WI,54927,44.1004676,-88.654217
A43114332,Waupaca,WI,54981,44.36117709,-89.09308485
A43139535,Oshkosh,WI,54904,44.0245968,-88.59440245
A43143585,Waupaca,WI,54981,44.35801553,-89.09314965
A43155429,Waupaca,WI,54981,44.36745962,-89.09545684
A43171238,Manawa,WI,54949,44.46843068,-88.92548129
A43200391,Little Chute,WI,54140,44.27914082,-88.30694228
A43228183,Waupaca,WI,54981,44.35815706,-89.08124934
A43228194,Iola,WI,54945,44.507305,-89.132267
A43228203,Waupaca,WI,54981,44.375056,-89.215498
A43228255,Iola,WI,54945,44.507305,-89.132267
A43228313,Iola,WI,54945,44.507305,-89.132267
A43228333,Waupaca,WI,54981,44.375056,-89.215498
A43228510,Appleton,WI,54914,44.2452947,-88.4417066
A43228522,Waupaca,WI,54981,44.36686886,-89.08677
A43228544,Menasha,WI,54952,44.2177401,-88.4311968
A43228560,Wausau,WI,54403,44.955875,-89.623262
A43228575,Appleton,WI,54914,44.25536058,-88.42193532
A43228591,Green Bay,WI,54311,44.45946278,-87.93552265
A43273314,Appleton,WI,54915,44.235462,-88.391597
A43273354,Appleton,WI,54915,44.235462,-88.391597
A43290861,Appleton,WI,54914,44.27381982,-88.42277797
A43290872,Waupaca,WI,54981,44.36861601,-89.09876443
A43293519,Port Edwards,WI,54469,44.34181942,-89.86065345
A43293523,Stevens Point,WI,54481,44.52268047,-89.55992402
A43302796,Waupaca,WI,54981,44.36839849,-89.08943148
A43309531,Kaukauna,WI,54130,44.25790727,-88.2735409
A38548723,Waupaca,WI,54981,44.36126073,-89.09025363
A38548723,Waupaca,WI,54981,44.36122737,-89.09002382
A38566001,Fremont,WI,54940,44.25735632,-88.87615588
A38600524,Waupaca,WI,54981,44.34978412,-89.07858361
A38608480,Waupaca,WI,54981,44.36456465,-89.09687498
A38622342,Marshfield,WI,54449,44.65223854,-90.19352513
A38622361,Amherst,WI,54406,44.44481486,-89.35920931
A38673539,Sewanee,TN,37375,35.207544,-85.925703
A38673548,Green Bay,WI,54313,43.593721,-88.12025
A38673558,New London,WI,54961,44.392802,-88.747517
A38714237,Plover,WI,54467,44.46437392,-89.54880208
A38804493,Horicon,WI,53032,43.44751155,-88.64930916
A38804511,Plover,WI,54467,44.4620444,-89.53935691
A38830386,Appleton,WI,54911,44.27749559,-88.39658165
A38875356,Oshkosh,WI,54902,44.00094596,-88.56246659
A38875364,Fremont,WI,54940,44.25735632,-88.87615588
A38875378,Iola,WI,54945,44.5108127,-89.1351568
A38880728,Waupaca,WI,54981,44.35410116,-89.08124777
A38889474,Waupaca,WI,54981,44.34928367,-89.07630976
A38919491,Weyauwega,WI,54983,44.316348,-88.9307435
A38939369,Stevens Point,WI,54481,44.53068144,-89.55457576
A38939387,Wausau,WI,54401,44.94476906,-89.63364355
A38939413,Green Bay,WI,54313,44.48082205,-88.09922573
A39730475,Waupaca,WI,54981,44.36026128,-89.0915818
A39730565,Oshkosh,WI,54901,44.06232973,-88.54576529
A39730825,Manawa,WI,54949,44.46317078,-88.91661808
A39730842,Manawa,WI,54949,44.46317078,-88.91661808
A39730984,Iola,WI,54945,44.50607906,-89.12512638
A39731041,Manawa,WI,54949,44.46945195,-88.92233663
A39731098,Waupaca,WI,54981,44.34662047,-89.07957926
A39734941,Plover,WI,54467,44.46965879,-89.54571797
A39734951,Stevens Point,WI,54481,44.5387553,-89.58368373
A39734962,Iola,WI,54945,44.51058698,-89.13380002
A39734983,New London,WI,54961,51.4702275,-0.0952282
A39734990,Plover,WI,54467,44.45505175,-89.56139263
A39744464,Waupaca,WI,54981,44.35937964,-89.09450946
A39773037,Menasha,WI,54952,44.22973929,-88.44527345
A39795366,Weyauwega,WI,54983,44.31989064,-88.9169843
A39795376,Plover,WI,54467,44.44493327,-89.54896703
A39795413,Milwaukee,WI,53213,43.05853939,-88.01101277
A39795419,Milwaukee,WI,53213,43.05853939,-88.01101277
A39795426,Stevens Point,WI,54481,44.4968256,-89.5590817
A39802898,Neenah,WI,54956,44.1868048,-88.46212157
A39853991,Menasha,WI,54952,44.21575607,-88.40861163
A39859485,Plover,WI,54467,44.44505416,-89.56842648
A39890295,Wautoma,WI,54982,44.07212075,-89.29349223
A39895645,Menasha,WI,54952,44.21575607,-88.40861163
A39895720,Waupaca,WI,54981,44.36480735,-89.09356347
A39895733,Weyauwega,WI,54983,44.31983008,-88.93227278
A39915719,Neenah,WI,54956,44.17040178,-88.45938053
A39915777,Waupaca,WI,54981,44.34388741,-89.08135252
A39915777,Weyauwega,WI,54983,44.31989064,-88.9169843
A39915795,Waupaca,WI,54981,44.34388741,-89.08135252
A39915834,Stevens Point,WI,54482,44.56808473,-89.5300162
A39915853,Hortonville,WI,54944,44.32477262,-88.63967975
A39915927,Menasha,WI,54952,44.21712313,-88.43945743
A39915936,Waupaca,WI,54981,44.34911474,-89.06787247
A39955277,Waupaca,WI,54981,44.34727624,-89.0736109
A39955290,Waupaca,WI,54981,44.34727624,-89.0736109
A39955341,Kaukauna,WI,54130,44.29152076,-88.25618561
