Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
1,"Retriever, Labrador",Mix,0,1,,Adult,Normal,2/8/2020 11:06 PM,Stray,ACO / Police Drop Off,,,2/10/2020 11:24 AM,2/10/2020 11:24 AM,Return to Owner/Guardian,Stray Reclaim,,
0,Domestic Shorthair,Mix,0,1,9.0,Young,Normal,2/10/2020 1:36 PM,Stray,ACO / Police Drop Off,,,5/28/2020 5:21 PM,5/28/2020 5:21 PM,Adoption,Adoption Center,,
0,Siamese,Mix,1,1,7.0,Young,Sick,2/16/2020 1:41 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,3/11/2020 2:10 PM,3/11/2020 2:10 PM,Transfer Out,For Adoption,For Adoption,Wisconsin Purebred Cat Rescue
1,American Blue Heeler,Shepherd,0,1,1.0,Young,Normal,2/10/2020 2:50 PM,Owner/Guardian Surrender,For Adoption,Time - Not Enough,,4/7/2020 11:48 AM,4/7/2020 11:48 AM,Adoption,Adoption Center,,
1,Great Pyrenees,Mix,0,1,60.0,Adult,Normal,2/20/2020 1:03 PM,Owner/Guardian Surrender,For Adoption,Moving,,2/22/2020 1:41 PM,2/22/2020 1:41 PM,Transfer Out,To Specific Rescue,For Adoption,Great Pyrenees Rescue of Wisconsin
0,Domestic Shorthair,Mix,2,0,,Adult,Injured,2/21/2020 3:43 PM,Stray,ACO / Police Drop Off,,,3/27/2020 12:10 PM,,Euthanasia,Disease - FeLV+,,
1,"Retriever, Golden",,1,0,21.0,Young,Normal,2/21/2020 7:28 PM,Stray,Public Drop Off,,,2/21/2020 7:37 PM,2/21/2020 7:37 PM,Return to Owner/Guardian,Stray Reclaim,,
0,Domestic Shorthair,Mix,0,1,71.0,Adult,Normal,2/22/2020 12:55 PM,Stray,Public Drop Off,,,6/30/2020 4:18 PM,6/30/2020 4:18 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,11.0,Adult,Normal,2/25/2020 3:50 PM,Stray,ACO / Police Drop Off,,,2/2/2021 10:02 AM,2/2/2021 10:02 AM,Transfer Out,To Specific Rescue,For Adoption,Orphan Animal Rescue - OARS
1,Hound,Mix,0,1,95.0,Adult,Normal,2/25/2020 1:47 PM,Stray,ACO / Police Drop Off,,,2/28/2020 1:51 PM,2/28/2020 1:51 PM,Return to Owner/Guardian,Stray Reclaim,,
1,Hound,Mix,0,1,59.0,Adult,Normal,2/25/2020 1:47 PM,Stray,ACO / Police Drop Off,,,2/28/2020 1:51 PM,2/28/2020 1:51 PM,Return to Owner/Guardian,Stray Reclaim,,
1,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,1,1,2.0,Baby,Normal,2/29/2020 11:31 AM,Owner/Guardian Surrender,For Adoption,Other,,3/13/2020 3:47 PM,3/13/2020 3:47 PM,Adoption,Adoption Center,,
1,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,0,1,2.0,Baby,Normal,2/29/2020 11:31 AM,Owner/Guardian Surrender,For Adoption,Other,,3/13/2020 6:17 PM,3/13/2020 6:17 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,1,1,2.0,Baby,Normal,2/29/2020 11:31 AM,Owner/Guardian Surrender,For Adoption,Other,,3/14/2020 2:38 PM,3/14/2020 2:38 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,2.0,Baby,Normal,2/29/2020 11:31 AM,Owner/Guardian Surrender,For Adoption,Other,,3/13/2020 6:49 PM,3/13/2020 6:49 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,2.0,Baby,Normal,2/29/2020 11:31 AM,Owner/Guardian Surrender,For Adoption,Other,,3/21/2020 3:47 PM,3/21/2020 3:47 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,2.0,Baby,Normal,2/29/2020 11:31 AM,Owner/Guardian Surrender,For Adoption,Other,,3/18/2020 4:50 PM,3/18/2020 4:50 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,1,1,2.0,Baby,Normal,2/29/2020 11:31 AM,Owner/Guardian Surrender,For Adoption,Other,,3/20/2020 5:15 PM,3/20/2020 5:15 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,36.0,Adult,Normal,3/4/2020 5:59 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,7/17/2020 4:56 PM,7/17/2020 4:56 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,5.0,Young,Normal,3/4/2020 5:59 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,7/29/2020 12:19 PM,7/29/2020 12:19 PM,Adoption,Adoption Center,,
